neighborhood,zip,building_class,address,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,01,1,C101,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C101""",RIGHT,1,1,1960,"640,000.00",6/23/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,D,02,19,D1902,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""D1902""",LEFT,1,1,1960,"950,000.00",7/8/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J,02,7,J702,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J702""",RIGHT,1,1,1960,"650,000.00",7/12/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K,02,6,K602,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K602""",RIGHT,1,1,1960,"716,000.00",7/14/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K,07,17,K1707,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K1707""",RIGHT,2,1,1960,"1,112,500.00",3/22/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J,04,15,J1504,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J1504""",RIGHT,2,1,1960,"1,100,000.00",5/6/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,02,19,C1902,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1902""",RIGHT,1,1,1960,"780,000.00",7/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,07,16,C1607,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1607""",RIGHT,2,1,1960,"1,100,000.00",8/2/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,03,7,E703,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E703""",MIDDLE,1,1,1960,"675,000.00",8/23/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J,03,6,J603,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J603""",RIGHT,1,1,1960,"830,000.00",8/25/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A,06,10,A1006,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A1006""",LEFT,2,1,1960,"1,100,000.00",10/10/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D,04,2,D204,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D204""",RIGHT,2,1,1960,"999,999.00",12/5/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A,01,2,A201,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A201""",LEFT,3,1.5,1960,"1,275,000.00",8/31/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,08,7,E708,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E708""",MIDDLE,1,1,1960,"740,000.00",9/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,06,13,C1306,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1306""",RIGHT,2,1,1960,"1,075,000.00",1/20/2022
