neighborhood,zip,building_class,address,building,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,07,7,E707,https://streeteasy.com/building/413-417-grand-st-building-2/e707,MIDDLE,1,1,1960,"715,000.00",8/2/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,03,13,C1303,https://streeteasy.com/building/264-268-east-broadway-building-1/c1303,RIGHT,1,1,1960,"880,000.00",8/3/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,07,15,L1507,https://streeteasy.com/building/383-387-grand-st-building-4/l1507,MIDDLE,1,1,1960,"800,000.00",8/17/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,06,7,B706,https://streeteasy.com/building/264-268-east-broadway-building-1/b706,MIDDLE,3,1.5,1960,"1,285,000.00",9/13/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,02,5,B502,https://streeteasy.com/building/264-268-east-broadway-building-1/b502,MIDDLE,studio,1,1960,"455,000.00",9/18/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,01,18,E1801,https://streeteasy.com/building/413-417-grand-st-building-2/e1801,MIDDLE,2,1,1960,"950,000.00",3/2/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,3,G,05,10,G1005,https://streeteasy.com/building/208-212-east-broadway-building-3/g1005,LEFT,2,1,1960,"950,000.00",8/30/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,08,19,H1908,https://streeteasy.com/building/208-212-east-broadway-building-3/h1908,MIDDLE,1,1,1960,"790,000.00",10/27/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,07,14,E1407,https://streeteasy.com/building/413-417-grand-st-building-2/e1407,MIDDLE,1,1,1960,"735,688.00",11/1/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,3,G,05,6,G605,https://streeteasy.com/building/208-212-east-broadway-building-3/g605,LEFT,2,1,1960,"950,000.00",3/8/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,02,11,F1102,https://streeteasy.com/building/413-417-grand-st-building-2/f1102,LEFT,1,1,1960,"440,000.00",11/3/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,3,G,02,14,G1402,https://streeteasy.com/building/208-212-east-broadway-building-3/g1402,LEFT,1,1,1960,"450,000.00",11/7/2023
